merchant_id,onboarding_month,month,merchant_industry,merchant_governorate,subscription_plan,acquisition_channel,customer_acquisition_cost,mrr,new_mrr,expansion_mrr,churned_mrr,active_status,total_payment_volume,transaction_count
MX-0022,2024-02-01,2024-09-01,F&B,Amman,Basic,Online,42.41,19.64,0.0,0.0,0.0,True,7324.25,
MX-0246,2024-02-01,2024-04-01,Pharmacy,Ajloun,Pro,Sales Agent,71.29,96.24,0.0,0.0,0.0,True,1598.22,165.0
MX-0040,2024-02-01,2024-02-01,Retail,Amman,Basic,Sales Agent,55.06,26.67,26.67,0.0,0.0,True,4484.61,645.0
MX-0197,2024-02-01,2024-08-01,Retail,Amman,Enterprise,Bank Partner,26.51,284.51,0.0,0.0,0.0,True,5354.46,625.0
MX-0426,2024-02-01,2024-09-01,Retail,Amman,Enterprise,Bank Partner,37.5,497.36,0.0,0.0,0.0,True,4654.77,519.0
MX-0257,2024-02-01,2024-08-01,Pharmacy,Irbid,Basic,Online,4070.0000000000005,17.47,0.0,0.0,0.0,True,1971.47,217.0
MX-0021,2024-02-01,2024-04-01,Retail,Zarqa,Pro,Bank Partner,39.08,82.13,0.0,0.0,0.0,True,7573.75,756.0
MX-0166,2024-02-01,2024-10-01,Hospitality,Amman,Pro,Online,59.16,80.06,0.0,0.0,0.0,True,4984.15,374.0
MX-0473,2024-02-01,2025-01-01,F&B,Aqaba,Pro,Bank Partner,37.74,66.93,0.0,0.0,0.0,True,5025.71,952.0
MX-0208,2024-02-01,2024-03-01,Retail,Madaba,Basic,Bank Partner,36.46,36.47,0.0,0.0,0.0,True,5640.59,832.0
MX-0053,2024-02-01,2024-09-01,Pharmacy,Zarqa,Enterprise,Online,26.63,580.5,0.0,78.69,0.0,True,3637.65,289.0
MX-0059,2024-02-01,2025-01-01,F&B,Aqaba,Basic,Online,46.04,34.58,0.0,0.0,0.0,True,10172.37,762.0
MX-0221,2024-02-01,2024-07-01,Retail,Balqa,Enterprise,Bank Partner,32.59,451.74,0.0,0.0,0.0,True,8552.22,690.0
MX-0395,2024-02-01,2024-09-01,F&B,Irbid,Basic,Sales Agent,93.41,46.31,0.0,29.52,0.0,True,2336.78,1002.0
MX-0246,2024-02-01,2024-08-01,Pharmacy,Ajloun,Pro,Sales Agent,50JOD,96.24,0.0,0.0,0.0,True,2589.24,361.0
MX-0055,2024-02-01,2024-10-01,Retail,Ajloun,Enterprise,Bank Partner,36.25,653.3,0.0,0.0,0.0,True,6311.28,846.0
MX-0178,2024-02-01,2025-01-01,F&B,Amman,Basic,Bank Partner,31.07,,0.0,0.0,0.0,True,6345.51,1045.0
MX-0447,2024-02-01,2024-06-01,Pharmacy,Amman,Pro,Bank Partner,21.48,111.6,0.0,0.0,0.0,True,954.9,230.0
MX-0437,2024-02-01,2024-07-01,F&B,Amman,Basic,Bank Partner,24.64,32.04,0.0,0.0,0.0,True,4425.58,1081.0
MX-0255,2024-02-01,2024-08-01,F&B,Amman,Pro,Online,55.16,76.03,0.0,0.0,0.0,True,3719.26,884.0
MX-0470,2024-02-01,2024-09-01,Pharmacy,Zarqa,Pro,Bank Partner,28.58,98.41,0.0,0.0,0.0,True,3672.69,366.0
MX-0222,2024-02-01,2024-05-01,Retail, Amman ,Basic,Bank Partner,28.52,38.56,0.0,0.0,0.0,True,5562.77,832.0
MX-0122,2024-02-01,2024-05-01,Hospitality,Amman,Enterprise,Bank Partner,27.63,328.02,0.0,0.0,0.0,True,1881.47,392.0
MX-0120,2024-02-01,2024-02-01,Retail,Aqaba,Basic,Sales Agent,92.94,37.74,37.74,0.0,0.0,True,5285.06,540.0
MX-0096,2024-02-01,2024-07-01,Retail,Zarqa,Basic,Sales Agent,-20,36.98,0.0,0.0,0.0,True,10626.69,770.0
MX-0146,2024-02-01,2024-03-01,F&B,Ajloun,Pro,Sales Agent,89.3,111.61,0.0,38.75,0.0,True,2911.36,703.0
MX-0167,2024-02-01,2024-09-01,F&B,Amman,Pro,Bank Partner,30.85,124.55,0.0,0.0,0.0,True,2062.83,710.0
MX-0203,2024-02-01,2024-10-01,F&B,Amman,Basic,Bank Partner,25.56,17.64,0.0,0.0,0.0,True,2075.86,793.0
MX-0073,2024-02-01,2024-02-01,F&B,Amman,Basic,Sales Agent,52.29,38.45,38.45,0.0,0.0,True,6002.33,950.0
MX-0060,2024-02-01,2024-07-01,F&B,Irbid,Pro,Online,41.82,61.82,0.0,0.0,0.0,True,11475.55,1004.0
MX-0271,2024-02-01,2024-10-01,Hospitality,Amman,Pro,Sales Agent,-20,119.44,0.0,0.0,0.0,True,3422.47,253.0
MX-0107,2024-02-01,2024-03-01,Retail,Amman,Basic,Bank Partner,36.43,26.64,0.0,0.0,0.0,True,4923.85,576.0
MX-0403,2024-02-01,2024-05-01,Retail,Amman,Basic,Sales Agent,64.58,90.68,0.0,0.0,0.0,True,4785.95,565.0
MX-0312,2024-02-01,2024-09-01,F&B,Madaba,Pro,Sales Agent,92.45,122.77,0.0,0.0,0.0,True,3582.43,784.0
MX-0386,2024-02-01,2024-04-01,Hospitality,Amman,Basic,Sales Agent,74.93,20.93,0.0,0.0,0.0,True,1703.05,246.0
MX-0114,2024-02-01,2024-06-01,Hospitality,Amman,Basic,Bank Partner,37.35,64.04,0.0,0.0,0.0,True,816.34,62.0
MX-0399,2024-02-01,2024-04-01,Hospitality,Amman,Pro,Bank Partner,31.15,162.37,0.0,0.0,0.0,True,1898.17,209.0
MX-0447,2024-02-01,2024-05-01,Pharmacy,Amman,Pro,Bank Partner,21.48,111.6,0.0,0.0,0.0,True,2399.68,186.0
MX-0396,2024-02-01,2024-03-01,Pharmacy, Amman ,Pro,Sales Agent,60.75,75.96,0.0,0.0,0.0,True,992.63,258.0
MX-0459,2024-02-01,2024-08-01,F&B,Amman,Basic,Sales Agent,69.33,0.0,0.0,0.0,20.21,False,0.0,0.0
MX-0246,2024-02-01,2024-05-01,Pharmacy,Ajloun,Pro,Sales Agent,71.29,96.24,0.0,0.0,0.0,True,4471.75,312.0
MX-0453,2024-02-01,2024-04-01,Retail,Zaqra,Pro,Sales Agent,73.46,87.74,0.0,0.0,0.0,True,10081.4,869.0
MX-0162,2024-02-01,2024-03-01,Retail,Ma'an,Basic,Sales Agent,77.26,36.75,0.0,0.0,0.0,True,5850.11,816.0
MX-0361,2024-02-01,2024-07-01,F&B,Aqaba,Enterprise,Sales Agent,40.7,428.54,0.0,0.0,0.0,True,2976.59,723.0
MX-0080,2024-02-01,2024-04-01,F&B,Amman,Enterprise,Sales Agent,86.32,557.46,0.0,0.0,0.0,True,3730.1,781.0
MX-0442,2024-02-01,2024-04-01,Pharmacy,Zarqa,Basic,Bank Partner,2854.0,31.02,0.0,0.0,0.0,True,1498.11,188.0
MX-0050,2024-02-01,2024-04-01,F&B,Aqaba,Basic,Sales Agent,44.9,27.45,0.0,0.0,0.0,True,4326.16,968.0
MX-0173,2024-02-01,2025-01-01,Retail,Amman,Pro,Online,27.0,115.12,0.0,0.0,0.0,True,3210.15,795.0
MX-0223,2024-02-01,2024-09-01,F&B,Amman,Basic,Bank Partner,17.41,36.14,0.0,0.0,0.0,True,3876.11,931.0
MX-0003,2024-02-01,2024-04-01,Retail,Amman,Pro,Bank Partner,37.66,78.53,0.0,0.0,0.0,True,5479.23,644.0
MX-0188,2024-02-01,2024-12-01,Retail,Amman,Basic,Sales Agent,85.96,18.3,0.0,0.0,0.0,True,14684.53,991.0
MX-0315,2024-02-01,2024-03-01,Hospitality,Jerash,Basic,Bank Partner,39.82,0.0,0.0,0.0,0.0,True,889.95,145.0
MX-0281,2024-02-01,2024/03/01,Hospitality,Irbid,Pro,Bank Partner,21.36,55.76,0.0,0.0,0.0,True,1817.5,223.0
MX-0142,2024-02-01,2024-05-01,F&B,Amman,Basic,Online,41.63,93.23,0.0,0.0,0.0,True,8019.92,904.0
MX-0309,2024-02-01,2024-06-01,Hospitality,Amman,Basic,Bank Partner,17.85,28.3,0.0,0.0,0.0,True,586.03,199.0
MX-0360,2024-02-01,2024-10-01,Retail,Amman,Pro,Sales Agent,48.53,115.85,0.0,0.0,0.0,True,3674.72,575.0
MX-0205,2024-02-01,2024-08-01,Retail,Amman,Basic,Bank Partner,33.5,61.65,0.0,38.82,0.0,True,768433.0,834.0
MX-0414,2024-02-01,2024-02-01,Retail,Amman,Basic,Bank Partner,15.69,24.11,24.11,0.0,0.0,True,5880.88,766.0
MX-0161,2024-02-01,2024-05-01,F&B,Amman,Pro,Sales Agent,79.07,108.76,0.0,0.0,0.0,True,5299.16,728.0
MX-0355,2024-02-01,2024-06-01,F&B,Amman,Basic,Online,48.96,0.0,0.0,0.0,35.15,False,0.0,0.0
MX-0472,2024-02-01,2024-07-01,Pharmacy,Balqa,Pro,Online,58.56,76.99,0.0,0.0,0.0,True,3562.95,417.0
MX-0051,2024-02-01,2024-05-01,Pharmacy,Zarqa,Pro,Online,38.33,103.66,0.0,0.0,0.0,True,1461.7,228.0
MX-0102,2024-02-01,2024-12-01,Retail,Amman,Enterprise,Bank Partner,28.33,633.76,0.0,0.0,0.0,True,2898.77,720.0
MX-0077,2024-02-01,2024-11-01,Hospitality,Amman,Basic,Bank Partner,20.97,35.27,0.0,0.0,0.0,True,3055.4,357.0
MX-0445,2024-02-01,2024-06-01,Hospitality,Amman,Pro,Sales Agent,66.43,173.96,0.0,0.0,0.0,True,2093.57,244.0
MX-0129,2024-02-01,2024-05-01,F&B,Amman,Basic,Bank Partner,37.05,15.7,0.0,0.0,0.0,True,14924.08,1111.0
MX-0447,2024-02-01,2024-04-01,Pharmacy,Amman,Pro,Bank Partner,2148.0,111.6,0.0,0.0,0.0,True,1738.19,337.0
MX-0148,2024-02-01,2024-08-01,Retail,Irbid,Pro,Online,34.31,112.51,0.0,0.0,0.0,True,4750.26,592.0
MX-0029,2024-02-01,2024-02-01,Retail,Amman,Basic,Online,30.26,15.48,15.48,0.0,0.0,True,11425.87,886.0
MX-0063,2024-02-01,2024-11-01,Hospitality,Amman,Pro,Sales Agent,88.38,0.0,0.0,0.0,116.88,False,0.0,0.0
MX-0321,2024-02-01,2024-04-01,Retail,Madaba,Basic,Bank Partner,37.69,54.58,0.0,0.0,0.0,True,5090.96,816.0
MX-0089,2024-02-01,2024-07-01,Hospitality,Amman,Enterprise,Bank Partner,35.55,269.64,0.0,0.0,0.0,True,1149.68,339.0
MX-0179,2024-02-01,2024-09-01,Pharmacy,Karak,Pro,Bank Partner,3235.0,158.24,0.0,0.0,0.0,True,2875.92,199.0
MX-0473,2024-02-01,2024-06-01,F&B,Aqaba,Pro,Bank Partner,37.74,0.0,0.0,0.0,0.0,True,10137.62,799.0
MX-0401,2024-02-01,2024-05-01,F&B,Amman,Basic,Sales Agent,60.44,34.46,0.0,0.0,0.0,True,10400.81,960.0
MX-0064,2024-02-01,2024-05-01,F&B,Amman,Basic,Bank Partner,26.48,19.48,0.0,0.0,0.0,True,9822.06,957.0
MX-0105,2024-02-01,2024-02-01,Pharmacy,Amman,Enterprise,Bank Partner,34.83,511.16,511.16,0.0,0.0,True,345.55,51.0
MX-0088,2024-02-01,2024-06-01,Retail,Amman,Basic,Bank Partner,31.42,29.49,0.0,0.0,0.0,True,9225.76,781.0
MX-0293,2024-02-01,2024-11-01,Hospitality,Zarqa,Pro,Sales Agent,-20,103.21,0.0,48.72,0.0,True,1358.95,213.0
MX-0137,2024-02-01,2024-06-01,Retail,Zarqa,Pro,Bank Partner,16.99,145.94,0.0,0.0,0.0,True,3595.37,685.0
MX-0253,2024-02-01,2024-09-01,Hospitality,Irbid,Basic,Bank Partner,31.73,77.27,0.0,8.83,0.0,True,323.38,84.0
MX-0241,2024-02-01,2024-04-01,Pharmacy,Zarqa,Pro,Online,51.78,115.96,0.0,0.0,0.0,True,5966.75,465.0
MX-0038,2024-02-01,2024-05-01,F&B,Amman,Pro,Sales Agent,49.07,111.92,0.0,0.0,0.0,True,5724.93,681.0
MX-0027,2024-02-01,2024-04-01,F&B,Amman,Pro,Bank Partner,33.27,166.55,0.0,0.0,0.0,True,4524.87,864.0
MX-0489,2024-02-01,2024-03-01,Pharmacy,Amman,Basic,Bank Partner,29.72,33.79,0.0,0.0,0.0,True,2404.18,172.0
MX-0453,2024-02-01,2024-05-01,Retail,Amman,Pro,Sales Agent,73.46,87.74,0.0,0.0,0.0,True,1833.02,755.0
MX-0244,2024-02-01,2024-02-01,F&B,Zarqa,Pro,Bank Partner,39.89,69.24,69.24,0.0,0.0,True,1623.89,697.0
MX-0313,2024-02-01,2024-05-01,F&B,Amman,Basic,Bank Partner,27.34,25.42,0.0,0.0,0.0,True,7346.08,862.0
MX-0118,2024-02-01,2024-09-01,F&B,Amman,Pro,Sales Agent,76.92,152.81,0.0,64.67,0.0,True,12088.9,856.0
MX-0208,2024-02-01,2024-02-01,Retail,Madaba,Basic,Bank Partner,36.46,36.47,36.47,0.0,0.0,True,3435.28,590.0
MX-0206,2024-02-01,2024-02-01,F&B,Ma'an,Pro,Bank Partner,37.95,102.37,102.37,0.0,0.0,True,10668.05,876.0
MX-0185,2024-02-01,2024-02-01,F&B,Mafraq,Basic,Bank Partner,31.33,28.92,28.92,0.0,0.0,True,10219.32,1084.0
MX-0100,2024-02-01,2024-08-01,F&B,Amman,Basic,Online,35.84,18.18,0.0,0.0,0.0,True,4145.25,812.0
MX-0158,2024-02-01,2024-05-01,Hospitality,Amman,Pro,Bank Partner,23.7,62.49,0.0,0.0,0.0,True,2430.92,253.0
MX-0078,2024-02-01,2024-04-01,F&B,Mafraq,Pro,Sales Agent,67.07,95.38,0.0,0.0,0.0,True,2558.27,799.0
MX-0266,2024-02-01,2024-07-01,Retail,Zarqa,Basic,Bank Partner,30.78,20.5,0.0,0.0,0.0,True,10000.44,729.0
MX-0188,2024-02-01,2024-09-01,Retail,Amman,Basic,Sales Agent,85.96,18.3,0.0,0.0,0.0,True,1778.69,473.0
MX-0019,2024-02-01,2024-02-01,Retail,Ma'an,Enterprise,Bank Partner,15.55,236.83,236.83,0.0,0.0,True,4813.6,879.0
MX-0233,2024-02-01,2024-02-01,Retail,Irbid,Basic,Sales Agent,94.17,29.3,29.3,0.0,0.0,True,6533.88,799.0
MX-0405,2024-02-01,2024-10-01,F&B,Amman,Pro,Sales Agent,80.63,51.21,0.0,0.0,0.0,True,8737.99,725.0
MX-0141,2024-02-01,2024-04-01,Pharmacy,Amman,Pro,Sales Agent,89.14,110.28,0.0,0.0,0.0,True,497039.00000000006,538.0
MX-0025,2024-02-01,2024-03-01,Retail,Madaba,Enterprise,Sales Agent,-20,521.2,0.0,0.0,0.0,True,2702.67,596.0
MX-0432,2024-02-01,2024-07-01,Hospitality,Madaba,Basic,Sales Agent,89.6,125.97,0.0,0.0,0.0,True,261.89,28.0
MX-0095,2024-02-01,2024-04-01,Hospitality,Ajloun,Basic,Sales Agent,57.23,0.0,0.0,0.0,23.27,False,0.0,0.0
MX-0350,2024-02-01,2024-06-01,Retail, Amman ,Basic,Sales Agent,40.61,23.18,0.0,0.0,0.0,True,2408.72,948.0
MX-0410,2024-02-01,2024-05-01,F&B,Amman,Pro,Bank Partner,26.35,104.94,0.0,0.0,0.0,True,8566.15,746.0
MX-0131,2024-02-01,2024-06-01,Retail,Irbid,Pro,Sales Agent,49.73,150.88,0.0,0.0,0.0,True,4989.15,719.0
MX-0152,2024-02-01,2024-02-01,F&B,Zarqa,Pro,Bank Partner,19.34,90.7,90.7,0.0,0.0,True,897039.0,856.0
MX-0039,2024-02-01,2024-07-01,Retail,Amman,Basic,Bank Partner,20.63,35.66,0.0,0.0,0.0,True,3214.11,650.0
MX-0129,2024-02-01,2024-06-01,F&B,Amman,Basic,Bank Partner,37.05,15.7,0.0,0.0,0.0,True,5466.14,879.0
MX-0361,2024-02-01,2024-09-01,F&B,Aqaba,Enterprise,Sales Agent,40.7,475.45,0.0,0.0,0.0,True,11930.66,802.0
MX-0041,2024-02-01,2024-06-01,F&B,Karak,Basic,Sales Agent,91.04,28.93,0.0,0.0,0.0,True,8374.14,928.0
MX-0271,2024-02-01,2025-01-01,Hospitality,amman,Pro,Sales Agent,46.25,119.44,0.0,0.0,0.0,True,747.61,210.0
MX-0193,2024-02-01,2024-05-01,Pharmacy,Zarqa,Basic,Bank Partner,31.77,23.24,0.0,0.0,0.0,True,5831.91,505.0
MX-0079,2024-02-01,2024-02-01,F&B,Zarqa,Basic,Sales Agent,99.1,0.0,36.04,0.0,36.04,False,0.0,0.0
MX-0140,2024-02-01,2024-03-01,Pharmacy,Amman,Pro,Online,54.33,59.39,0.0,0.0,0.0,True,1383.55,394.0
MX-0460,2024-02-01,2024-02-01,F&B,Aqaba,Pro,Sales Agent,64.11,90.13,90.13,0.0,0.0,True,2739.64,1023.0
MX-0467,2024-02-01,2024-11-01,F&B,Irbid,Enterprise,Bank Partner,24.88,332.71,0.0,0.0,0.0,True,3427.08,974.0
MX-0023,2024-02-01,2024-10-01,F&B,Karak,Enterprise,Bank Partner,38.42,207.65,0.0,0.0,0.0,True,11501.7,843.0
MX-0293,2024-02-01,2024-08-01,Hospitality,Zarqa,Pro,Sales Agent,52.42,54.49,0.0,0.0,0.0,True,351889.0,329.0
MX-0132,2024-02-01,2024-07-01,F&B,Ajloun,Basic,Bank Partner,15.32,76.08,0.0,0.0,0.0,True,10047.35,1127.0
MX-0059,2024-02-01,2024-02-01,F&B,Aqaba,Basic,Online,46.04,34.58,34.58,0.0,0.0,True,5613.93,824.0
MX-0025,2024-02-01,2024-12-01,Retail,Madaba,Enterprise,Sales Agent,65.13,,0.0,0.0,0.0,True,5629.11,578.0
MX-0488,2024-02-01,2024-02-01,F&B,Amman,Pro,Sales Agent,91.81,60.56,60.56,0.0,0.0,True,12033.7,866.0
MX-0213,2024-02-01,2024/10/01,Retail,Zarqa,Basic,Sales Agent,-20,26.13,0.0,0.0,0.0,True,4414.86,526.0
MX-0031,2024-02-01,2024-07-01,Retail,Madaba,Basic,Bank Partner,19.95,99.44,0.0,0.0,0.0,True,5448.02,896.0
MX-0238,2024-02-01,2024-04-01,F&B,Madaba,Basic,Bank Partner,19.63,0.0,0.0,0.0,22.52,False,0.0,0.0
MX-0005,2024-02-01,2024-07-01,F&B,Irbid,Pro,Bank Partner,21.8,86.85,0.0,17.52,0.0,True,7890.63,740.0
MX-0180,2024-02-01,2024-10-01,F&B,Jerash,Basic,Sales Agent,70.76,43.13,0.0,14.22,0.0,True,6709.51,1032.0
MX-0207,2024-02-01,2024-05-01,F&B,Amman,Pro,Sales Agent,56.8,67.7,0.0,0.0,0.0,True,11983.64,977.0
MX-0276,2024-02-01,2024/06/01,Retail,Amman,Basic,Bank Partner,30.02,0.0,0.0,0.0,21.06,False,0.0,0.0
MX-0095,2024-02-01,2024-03-01,Hospitality,Ajloun,Basic,Sales Agent,57.23,23.27,0.0,0.0,0.0,True,2827.69,385.0
MX-0033,2024-02-01,2024-02-01,F&B,Petra,Basic,Sales Agent,67.84,27.18,27.18,0.0,0.0,True,10665.85,836.0
MX-0484,2024-02-01,2024-02-01,Retail,Amman,Basic,Sales Agent,48.93,0.0,24.59,0.0,24.59,False,0.0,0.0
MX-0317,2024-02-01,2024-05-01,Retail,Zarqa,Basic,Bank Partner,21.87,24.69,0.0,0.0,0.0,True,7960.34,614.0
MX-0451,2024-02-01,2024/12/01,Hospitality, Amman ,Basic,Bank Partner,21.76,79.54,0.0,0.0,0.0,True,788.18,233.0
MX-0045,2024-02-01,2024-02-01,F&B,Irbid,Pro,Online,54.41,70.26,70.26,0.0,0.0,True,11248.27,1119.0
MX-0299,2024-02-01,2024-05-01,Retail,Irbid,Pro,Bank Partner,17.7,50.18,0.0,0.0,0.0,True,2380.29,692.0
MX-0342,2024-02-01,2024-05-01,Retail, Amman ,Basic,Bank Partner,16.78,25.79,0.0,0.0,0.0,True,3255.37,700.0
MX-0439,2024-02-01,2024-06-01,Retail,Amman,Basic,Sales Agent,72.48,39.75,0.0,0.0,0.0,True,3915.16,634.0
MX-0221,2024-02-01,2024-12-01,Retail,Balqa,Enterprise,Bank Partner,32.59,451.74,0.0,0.0,0.0,True,1724.51,801.0
MX-0185,2024-02-01,2024-03-01,F&B,Mafraq,Basic,Bank Partner,31.33,42.65,0.0,13.73,0.0,True,5413.06,971.0
MX-0039,2024-02-01,2024-06-01,Retail,Amman,Basic,Bank Partner,20.63,35.66,0.0,0.0,0.0,True,9946.96,
MX-0123,2024-02-01,2024-06-01,F&B,Amman,Pro,Sales Agent,98.03,0.0,0.0,0.0,0.0,True,8672.82,1068.0
