merchant_id,month,merchant_industry,merchant_governorate,subscription_plan,acquisition_channel,customer_acquisition_cost,mrr,new_mrr,expansion_mrr,churned_mrr,active_status,total_payment_volume,transaction_count
M10003,2024-11-01,Retail,Aqaba,Pro,Bank Partner,21.24,175.38,0.0,0.0,0.0,True,4778.92,702
M10003,2024-12-01,Retail,Aqaba,Pro,Bank Partner,21.24,237.95,0.0,62.57,0.0,True,3514.63,739
M10003,2025-01-01,Retail,Aqaba,Pro,Bank Partner,21.24,237.95,0.0,0.0,0.0,True,9893.34,736
M10004,2024-02-01,F&B,Irbid,Pro,Bank Partner,21.8,65.1,65.1,0.0,0.0,True,8481.77,810
M10004,2024-03-01,F&B,Irbid,Pro,Bank Partner,21.8,65.1,0.0,0.0,0.0,True,8815.02,849
M10004,2024-04-01,F&B,Irbid,Pro,Bank Partner,21.8,65.1,0.0,0.0,0.0,True,5294.63,923
M10004,2024-05-01,F&B,Irbid,Pro,Bank Partner,-20.0,65.1,0.0,0.0,0.0,True,3042.6,882
M10004,2024-06-01,F&B,Irbid,Pro,Bank Partner,21.8,65.1,0.0,0.0,0.0,True,1611.9,716
M10004,2024-07-01,F&B,Irbid,Pro,Bank Partner,21.8,65.1,0.0,0.0,0.0,True,6414.72,763
M10004,2024-08-01,F&B,Irbid,Pro,Bank Partner,21.8,65.1,0.0,0.0,0.0,True,7149.58,890
M10004,2024-09-01,F&B,Irbid,Pro,Bank Partner,21.8,65.1,0.0,0.0,0.0,True,9738.05,901
M10004,2024-10-01,F&B,Irbid,Pro,Bank Partner,21.8,65.1,0.0,0.0,0.0,True,13425.0,914
M10004,2024-11-01,F&B,Irbid,Pro,Bank Partner,21.8,0.0,0.0,0.0,65.1,False,0.0,0
M10005,2024-02-01,F&B,Amman,Pro,Bank Partner,33.98,103.91,103.91,0.0,0.0,True,5916.05,1085
M10005,2024-03-01,F&B,Amman,Pro,Bank Partner,33.98,130.91,0.0,27.0,0.0,True,4372.87,640
M10005,2024-04-01,F&B,Amman,Pro,Bank Partner,33.98,158.39,0.0,27.49,0.0,True,13638.01,930
M10005,2024-05-01,F&B,Zaqra,Pro,Bank Partner,50JOD,0.0,0.0,0.0,158.39,False,0.0,0
M10006,2024-02-01,F&B,Other,Pro,Sales Agent,66.98,112.9,112.9,0.0,0.0,True,3723.07,627
M10006,2024-03-01,F&B,Other,Pro,Sales Agent,66.98,135.02,0.0,22.12,0.0,True,6526.59,787
M10006,2024-04-01,F&B,Other,Pro,Sales Agent,66.98,135.02,0.0,0.0,0.0,True,13093.42,902
M10006,2024-05-01,F&B,Other,Pro,Sales Agent,66.98,167.44,0.0,32.43,0.0,True,4213.98,927
M10006,2024/06/01,F&B,Other,Pro,Sales Agent,66.98,167.44,0.0,0.0,0.0,True,3703.26,947
M10006,2024-07-01,F&B,Other,Pro,Sales Agent,66.98,167.44,0.0,0.0,0.0,True,7532.34,1069
M10006,2024-08-01,F&B,Other,Pro,Sales Agent,66.98,167.44,0.0,0.0,0.0,True,5637.92,976
M10006,2024-09-01,F&B,Other,Pro,Sales Agent,66.98,167.44,0.0,0.0,0.0,True,9755.53,871
M10006,2024-10-01,F&B,Other,Pro,Sales Agent,66.98,16.05,0.0,16.05,167.44,False,0.0,0
M10007,2024-02-01,Hospitality,Aqaba,Pro,Sales Agent,86.6,94.16,94.16,0.0,0.0,True,1306.73,254
M10007,2024-03-01,Hospitality,amman,Pro,Sales Agent,86.6,94.16,0.0,0.0,0.0,True,957.16,320
M10007,2024-04-01,Hospitality,Aqaba,Pro,Sales Agent,86.6,94.16,0.0,0.0,0.0,True,3904.82,512
M10007,2024-05-01,Hospitality,Aqaba,Pro,Sales Agent,86.6,111.6,0.0,17.43,0.0,True,103.83,22
M10007,2024-06-01,Hospitality,Aqaba,Pro,Sales Agent,86.6,179.87,0.0,68.27,0.0,True,1559.15,303
M10007,2024-07-01,Hospitality,Aqaba,Pro,Sales Agent,86.6,179.87,0.0,0.0,0.0,True,4224.36,294
M10007,2024-08-01,Hospitality,Aqaba,Pro,Sales Agent,50JOD,179.87,0.0,0.0,0.0,True,1370.38,255
M10007,2024-09-01,Hospitality,Aqaba,Pro,Sales Agent,86.6,179.87,0.0,0.0,0.0,True,852.57,289
M10007,2024-10-01,Hospitality,Aqaba,Pro,Sales Agent,86.6,179.87,0.0,0.0,0.0,True,4347.85,315
M10007,2024-11-01,Hospitality,Aqaba,Pro,Sales Agent,86.6,179.87,0.0,0.0,0.0,True,1580.22,180
M10007,2024-12-01,Hospitality,Aqaba,Pro,Sales Agent,86.6,179.87,0.0,0.0,0.0,True,2709.85,239
M10007,2025-01-01,Hospitality,Aqaba,Pro,Sales Agent,86.6,179.87,0.0,0.0,0.0,True,1066.58,100
M10008,2024-02-01,Retail,Other,Basic,Sales Agent,43.92,19.07,19.07,0.0,0.0,True,1401.79,662
M10008,2024-03-01,Retail,Other,Basic,Sales Agent,43.92,19.07,0.0,0.0,0.0,True,3475.99,699
M10008,2024-04-01,Retail,Other,Basic,Sales Agent,43.92,19.07,0.0,0.0,0.0,True,9237.53,805
M10008,2024-05-01,Retail,Other,Basic,Sales Agent,43.92,37.15,0.0,37.15,19.07,False,0.0,0
M10009,2024-02-01,Retail,Irbid,Basic,Sales Agent,69.25,27.02,27.02,0.0,0.0,True,3712.3,645
M10009,2024-03-01,Retail,Irbid,Basic,Sales Agent,69.25,27.02,0.0,0.0,0.0,True,4417.42,622
M10009,2024-04-01,Retail,Irbid,Basic,Sales Agent,69.25,27.02,0.0,0.0,0.0,True,12322.66,858
M10009,2024-05-01,Retail,Irbid,Basic,Sales Agent,69.25,27.02,0.0,0.0,0.0,True,5758.44,617
M10009,2024-06-01,Retail,Irbid,Basic,Sales Agent,50JOD,27.02,0.0,0.0,0.0,True,4069.4,794
M10009,2024-07-01,Retail,Irbid,Basic,Sales Agent,69.25,27.02,0.0,0.0,0.0,True,3414.63,701
M10009,2024-08-01,Retail,Irbid,Basic,Sales Agent,50JOD,34.72,0.0,7.7,0.0,True,7761.79,585
M10009,2024-09-01,Retail,Irbid,Basic,Sales Agent,69.25,34.72,0.0,0.0,0.0,True,4913.69,515
M10009,2024-10-01,Retail,Irbid,Basic,Sales Agent,69.25,34.72,0.0,0.0,0.0,True,5320.76,938
M10009,2024-11-01,Retail,Irbid,Basic,Sales Agent,69.25,34.72,0.0,0.0,0.0,True,7119.16,869
M10009,2024-12-01,Retail,Irbid,Basic,Sales Agent,69.25,34.72,0.0,0.0,0.0,True,6304.74,651
M10009,2025-01-01,Retail,Irbid,Basic,Sales Agent,69.25,34.72,0.0,0.0,0.0,True,1918.84,656
M10010,2024-02-01,F&B,Zarqa,Basic,Online,21.34,16.73,16.73,0.0,0.0,True,6978.21,953
M10010,2024-03-01,F&B,Zarqa,Basic,Online,21.34,16.73,0.0,0.0,0.0,True,12601.78,1048
M10010,2024-04-01,F&B,Zarqa,Basic,Online,21.34,16.73,0.0,0.0,0.0,True,10320.98,771
M10010,2024-05-01,F&B,Zarqa,Basic,Online,21.34,16.73,0.0,0.0,0.0,True,3072.64,839
M10010,2024-06-01,F&B,Zarqa,Basic,Online,21.34,0.0,0.0,0.0,16.73,False,0.0,0
M10011,2024-02-01,Pharmacy,Amman,Enterprise,Sales Agent,43.76,366.63,366.63,0.0,0.0,True,4248.5,290
M10011,2024-03-01,Pharmacy,Amman,Enterprise,Sales Agent,43.76,366.63,0.0,0.0,0.0,True,355.37,176
M10011,2024-04-01,Pharmacy,Amman,Enterprise,Sales Agent,43.76,366.63,0.0,0.0,0.0,True,1032.32,210
M10011,2024-05-01,Pharmacy,Amman,Enterprise,Sales Agent,43.76,366.63,0.0,0.0,0.0,True,1597.35,269
M10011,2024-06-01,Pharmacy,Amman,Enterprise,Sales Agent,43.76,366.63,0.0,0.0,0.0,True,5501.51,436
M10011,2024-07-01,Pharmacy,Amman,Enterprise,Sales Agent,43.76,366.63,0.0,0.0,0.0,True,5031.76,475
M10011,2024-08-01,Pharmacy,Amman,Enterprise,Sales Agent,43.76,412.46,0.0,45.84,0.0,True,388.29,-1
M10011,2024-09-01,Pharmacy,Amman,Enterprise,Sales Agent,43.76,412.46,0.0,0.0,0.0,True,2213.3,378
M10011,2024-10-01,Pharmacy,Amman,Enterprise,Sales Agent,43.76,412.46,0.0,0.0,0.0,True,396.59,119
M10011,2024-11-01,Pharmacy,Amman,Enterprise,Sales Agent,43.76,412.46,0.0,0.0,0.0,True,4745.82,372
M10011,2024-12-01,Pharmacy,Amman,Enterprise,Sales Agent,43.76,412.46,0.0,0.0,0.0,True,2224.64,278
M10011,2025-01-01,Pharmacy,Amman,Enterprise,Sales Agent,43.76,412.46,0.0,0.0,0.0,True,2108.35,379
M10012,2024-02-01,Hospitality,Other,Enterprise,Online,56.26,522.83,522.83,0.0,0.0,True,1908.88,300
M10012,2024-03-01,Hospitality,Other,Enterprise,Online,56.26,522.83,0.0,0.0,0.0,True,3499.41,376
M10012,2024-04-01,Hospitality,Other,Enterprise,Online,56.26,522.83,0.0,0.0,0.0,True,2514.72,362
M10012,2024-05-01,Hospitality,Other,Enterprise,Online,56.26,522.83,0.0,0.0,0.0,True,381.71,164
M10012,2024-06-01,Hospitality,Other,Enterprise,Online,56.26,0.0,0.0,0.0,522.83,False,0.0,0
M10013,2024-02-01,F&B,Aqaba,Basic,Bank Partner,18.48,32.59,32.59,0.0,0.0,True,5423.64,1073
M10013,2024-03-01,F&B,Aqaba,Basic,Bank Partner,18.48,32.59,0.0,0.0,0.0,True,2564.83,960
M10013,2024-04-01,F&B,amman,Basic,Bank Partner,18.48,32.59,0.0,0.0,0.0,True,11958.97,905
M10013,2024-05-01,F&B,Aqaba,Basic,Bank Partner,18.48,32.59,0.0,0.0,0.0,True,2379.58,641
M10013,2024-06-01,F&B,Aqaba,Basic,Bank Partner,18.48,32.59,0.0,0.0,0.0,True,6214.09,1031
M10013,2024-07-01,F&B,Aqaba,Basic,Bank Partner,18.48,32.59,0.0,0.0,0.0,True,5398.0,1027
M10013,2024-08-01,F&B,Aqaba,Basic,Bank Partner,18.48,32.59,0.0,0.0,0.0,True,12493.3,974
M10013,2024-09-01,F&B,Aqaba,Basic,Bank Partner,18.48,0.0,0.0,0.0,32.59,False,0.0,0
M10014,2024-02-01,F&B,Amman,Pro,Bank Partner,28.31,143.35,97.18,46.16,0.0,True,7819.6,776
M10014,2024-03-01,F&B,Amman,Pro,Bank Partner,28.31,143.35,0.0,0.0,0.0,True,5349.78,737
M10014,2024-04-01,F&B,Amman,Pro,Bank Partner,28.31,207.13,0.0,63.78,0.0,True,7061.6,1117
M10014,2024-05-01,F&B,Amman,Pro,Bank Partner,28.31,240.17,0.0,33.04,0.0,True,8491.23,821
M10014,2024-06-01,F&B,Amman,Pro,Bank Partner,28.31,240.17,0.0,0.0,0.0,True,10068.46,856
M10014,2024-07-01,F&B,Amman,Pro,Bank Partner,28.31,240.17,0.0,0.0,0.0,True,4138.19,740
M10014,2024-08-01,F&B,Amman,Pro,Bank Partner,28.31,240.17,0.0,0.0,0.0,True,3911.56,903
M10014,2024-09-01,F&B,Amman,Pro,Bank Partner,28.31,240.17,0.0,0.0,0.0,True,5855.42,808
M10014,2024-10-01,F&B, Amman ,Pro,Bank Partner,-20.0,240.17,0.0,0.0,0.0,True,4860.56,678
M10014,2024-11-01,F&B,Amman,Pro,Bank Partner,28.31,240.17,0.0,0.0,0.0,True,6524.26,788
M10014,2024-12-01,F&B,Amman,Pro,Bank Partner,28.31,240.17,0.0,0.0,0.0,True,9098.89,924
M10014,2025-01-01,F&B,Amman,Pro,Bank Partner,28.31,250.84,0.0,10.67,0.0,True,5325.22,908
M10015,2024-02-01,F&B,Zaqra,Enterprise,Bank Partner,25.28,236.83,236.83,0.0,0.0,True,1634.15,744
M10015,2024-03-01,F&B,Amman,Enterprise,Bank Partner,25.28,236.83,0.0,0.0,0.0,True,10777.55,999
M10015,2024-04-01,F&B,Amman,Enterprise,Bank Partner,25.28,236.83,0.0,0.0,0.0,True,7473.81,765
M10015,2024-05-01,F&B,Amman,Enterprise,Bank Partner,25.28,236.83,0.0,0.0,0.0,True,2664.28,789
M10015,2024-06-01,F&B,Amman,Enterprise,Bank Partner,25.28,236.83,0.0,0.0,0.0,True,4476.66,966
M10015,2024-07-01,F&B,Amman,Enterprise,Bank Partner,25.28,236.83,0.0,0.0,0.0,True,10190.97,940
M10015,2024-08-01,F&B,amman,Enterprise,Bank Partner,25.28,0.0,0.0,0.0,236.83,False,0.0,0
M10016,2024-02-01,F&B,Amman,Basic,Sales Agent,60.84,29.57,29.57,0.0,0.0,True,11444.83,886
M10016,2024-03-01,F&B,Amman,Basic,Sales Agent,60.84,29.57,0.0,0.0,0.0,True,14098.35,959
M10016,2024-04-01,F&B,Amman,Basic,Sales Agent,60.84,0.0,0.0,0.0,29.57,False,0.0,0
M10017,2024-02-01,Retail,Aqaba,Pro,Online,55.99,141.48,80.35,61.13,0.0,True,3877.15,507
M10017,2024-03-01,Retail,Aqaba,Pro,Online,55.99,0.0,0.0,0.0,141.48,False,0.0,0
M10018,2024-02-01,Retail,Other,Enterprise,Bank Partner,15.55,435.78,435.78,0.0,0.0,True,3329.65,647
M10018,2024-03-01,Retail,Zaqra,Enterprise,Bank Partner,15.55,435.78,0.0,0.0,0.0,True,8528.5,735
M10018,2024-04-01,Retail,Other,Enterprise,Bank Partner,15.55,459.41,0.0,23.63,0.0,True,3704.24,671
M10018,2024-05-01,Retail,Other,Enterprise,Bank Partner,15.55,459.41,0.0,0.0,0.0,True,8938.31,904
M10018,2024-06-01,Retail,amman,Enterprise,Bank Partner,15.55,459.41,0.0,0.0,0.0,True,9526.9,663
M10018,2024-07-01,Retail,Other,Enterprise,Bank Partner,15.55,459.41,0.0,0.0,0.0,True,5319.66,531
M10018,2024-08-01,Retail,Other,Enterprise,Bank Partner,15.55,459.41,0.0,0.0,0.0,True,6355.88,724
M10018,2024-09-01,Retail,Other,Enterprise,Bank Partner,15.55,492.24,0.0,32.83,0.0,True,4549.94,828
M10018,2024-10-01,Retail,Other,Enterprise,Bank Partner,15.55,492.24,0.0,0.0,0.0,True,10482.73,983
M10018,2024-11-01,Retail, Amman ,Enterprise,Bank Partner,15.55,492.24,0.0,0.0,0.0,True,6021.16,539
M10018,2024-12-01,Retail,Other,Enterprise,Bank Partner,15.55,492.24,0.0,0.0,0.0,True,8175.45,783
M10018,2025-01-01,Retail,Other,Enterprise,Bank Partner,15.55,492.24,0.0,0.0,0.0,True,4926.78,634
M10019,2024-02-01,F&B,Amman,Basic,Online,46.55,15.55,15.55,0.0,0.0,True,2738.48,1003
M10019,2024-03-01,F&B,Amman,Basic,Online,46.55,15.55,0.0,0.0,0.0,True,6812.92,930
M10019,2024-04-01,F&B,Amman,Basic,Online,-20.0,15.55,0.0,0.0,0.0,True,3478.68,854
M10019,2024-05-01,F&B,Amman,Basic,Online,46.55,0.0,0.0,0.0,15.55,False,0.0,0
M10020,2024-02-01,Retail,Zarqa,Pro,Bank Partner,39.08,63.0,63.0,0.0,0.0,True,2638.55,768
M10020,2024-03-01,Retail,Zarqa,Pro,Bank Partner,39.08,63.0,0.0,0.0,0.0,True,4283.54,816
M10020,2024-04-01,Retail,Zarqa,Pro,Bank Partner,39.08,63.0,0.0,0.0,0.0,True,6858.15,537
M10020,2024-05-01,Retail,Zarqa,Pro,Bank Partner,39.08,63.0,0.0,0.0,0.0,True,7508.67,541
M10020,2024-06-01,Retail,Zarqa,Pro,Bank Partner,39.08,63.0,0.0,0.0,0.0,True,10106.55,710
M10020,2024-07-01,Retail,Zarqa,Pro,Bank Partner,39.08,63.0,0.0,0.0,0.0,True,3076.68,433
M10020,2024-08-01,Retail,Zarqa,Pro,Bank Partner,39.08,63.0,0.0,0.0,0.0,True,8035.37,744
M10020,2024-09-01,Retail,Zarqa,Pro,Bank Partner,39.08,63.0,0.0,0.0,0.0,True,7764.35,662
M10020,2024-10-01,Retail,Zarqa,Pro,Bank Partner,39.08,63.0,0.0,0.0,0.0,True,3273.7,756
M10020,2024-11-01,Retail,Zarqa,Pro,Bank Partner,39.08,63.0,0.0,0.0,0.0,True,2074.56,588
M10020,2024-12-01,Retail,Zarqa,Pro,Bank Partner,39.08,0.0,0.0,0.0,63.0,False,0.0,0
M10021,2024-02-01,F&B,Amman,Basic,Online,42.41,32.97,32.97,0.0,0.0,True,5720.39,866
M10021,2024-03-01,F&B,Amman,Basic,Online,42.41,32.97,0.0,0.0,0.0,True,8312.42,950
M10021,2024-04-01,F&B,Amman,Basic,Online,42.41,32.97,0.0,0.0,0.0,True,4449.38,882
M10021,2024-05-01,F&B,Amman,Basic,Online,42.41,32.97,0.0,0.0,0.0,True,8289.86,828
M10021,2024-06-01,F&B,Amman,Basic,Online,42.41,32.97,0.0,0.0,0.0,True,11727.86,1061
M10021,2024-07-01,F&B,Amman,Basic,Online,42.41,32.97,0.0,0.0,0.0,True,5270.91,620
M10021,2024-08-01,F&B,Amman,Basic,Online,42.41,32.97,0.0,0.0,0.0,True,3377.63,965
M10021,2024-09-01,F&B,Amman,Basic,Online,50JOD,32.97,0.0,0.0,0.0,True,7443.38,1166
M10021,2024-10-01,F&B,Amman,Basic,Online,42.41,32.97,0.0,0.0,0.0,True,11501.7,843
M10021,2024-11-01,F&B,Amman,Basic,Online,42.41,32.97,0.0,0.0,0.0,True,5550.65,745
M10021,2024-12-01,F&B,Amman,Basic,Online,42.41,64.46,0.0,64.46,32.97,False,0.0,0
M10022,2024-02-01,F&B,Other,Enterprise,Bank Partner,38.42,389.7,389.7,0.0,0.0,True,1635.63,768
M10022,2024-03-01,F&B,Other,Enterprise,Bank Partner,38.42,389.7,0.0,0.0,0.0,True,12869.53,1000
M10022,2024-04-01,F&B,Other,Enterprise,Bank Partner,38.42,389.7,0.0,0.0,0.0,True,7976.38,649
M10022,2024-05-01,F&B,Other,Enterprise,Bank Partner,38.42,389.7,0.0,0.0,0.0,True,11501.56,877
M10022,2024-06-01,F&B,Other,Enterprise,Bank Partner,38.42,389.7,0.0,0.0,0.0,True,10915.13,877
M10022,2024-07-01,F&B,Other,Enterprise,Bank Partner,38.42,389.7,0.0,0.0,0.0,True,2342.46,816
M10022,2024-08-01,F&B,Other,Enterprise,Bank Partner,38.42,389.7,0.0,0.0,0.0,True,2747.86,959
M10022,2024-09-01,F&B,Other,Enterprise,Bank Partner,38.42,389.7,0.0,0.0,0.0,True,6227.39,905
M10022,2024-10-01,F&B,Other,Enterprise,Bank Partner,38.42,389.7,0.0,0.0,0.0,True,5048.71,770
M10022,2024-11-01,F&B,Other,Enterprise,Bank Partner,38.42,389.7,0.0,0.0,0.0,True,5559.25,817
M10022,2024-12-01,F&B,Other,Enterprise,Bank Partner,38.42,389.7,0.0,0.0,0.0,True,2222.6,1054
M10022,2025-01-01,F&B,Other,Enterprise,Bank Partner,38.42,389.7,0.0,0.0,0.0,True,8424.53,1016
M10023,2024-02-01,F&B,Aqaba,Enterprise,Bank Partner,16.31,202.13,202.13,0.0,0.0,True,9703.37,811
M10023,2024-03-01,F&B,Aqaba,Enterprise,Bank Partner,16.31,202.13,0.0,0.0,0.0,True,10701.39,909
M10023,2024-04-01,F&B,Aqaba,Enterprise,Bank Partner,16.31,202.13,0.0,0.0,0.0,True,9552.79,949
M10023,2024-05-01,F&B,Aqaba,Enterprise,Bank Partner,16.31,202.13,0.0,0.0,0.0,True,3609.6,796
M10023,2024-06-01,F&B,Aqaba,Enterprise,Bank Partner,16.31,202.13,0.0,0.0,0.0,True,9011.27,923
M10023,2024-07-01,F&B,Aqaba,Enterprise,Bank Partner,16.31,202.13,0.0,0.0,0.0,True,8924.45,-1
M10023,2024/08/01,F&B,Aqaba,Enterprise,Bank Partner,16.31,202.13,0.0,0.0,0.0,True,6168.36,-1
M10023,2024-09-01,F&B,Aqaba,Enterprise,Bank Partner,16.31,202.13,0.0,0.0,0.0,True,4486.79,873
M10023,2024-10-01,F&B,Aqaba,Enterprise,Bank Partner,16.31,202.13,0.0,0.0,0.0,True,4003.11,901
M10023,2024-11-01,F&B,Aqaba,Enterprise,Bank Partner,16.31,259.34,0.0,57.21,0.0,True,12785.27,1008
M10023,2024-12-01,F&B,Aqaba,Enterprise,Bank Partner,16.31,259.34,0.0,0.0,0.0,True,5492.57,1011
M10023,2025-01-01,F&B,Aqaba,Enterprise,Bank Partner,16.31,259.34,0.0,0.0,0.0,True,4775.93,768
M10024,2024-02-01,Retail,Aqaba,Enterprise,Sales Agent,50JOD,307.8,307.8,0.0,0.0,True,4107.39,755
M10024,2024-03-01,Retail,Aqaba,Enterprise,Sales Agent,65.13,307.8,0.0,0.0,0.0,True,6481.17,535
M10024,2024-04-01,Retail,Aqaba,Enterprise,Sales Agent,65.13,307.8,0.0,0.0,0.0,True,4962.4,731
M10024,2024-05-01,Retail,Aqaba,Enterprise,Sales Agent,65.13,307.8,0.0,0.0,0.0,True,3412.8,635
M10024,2024-06-01,Retail,Aqaba,Enterprise,Sales Agent,65.13,378.74,0.0,70.94,0.0,True,6774.83,635
M10024,2024-07-01,Retail,Aqaba,Enterprise,Sales Agent,65.13,378.74,0.0,0.0,0.0,True,9590.24,708
M10024,2024-08-01,Retail,Aqaba,Enterprise,Sales Agent,65.13,378.74,0.0,0.0,0.0,True,6106.66,643
M10024,2024-09-01,Retail,Aqaba,Enterprise,Sales Agent,65.13,390.86,0.0,12.12,0.0,True,4853.38,777
M10024,2024-10-01,Retail,Aqaba,Enterprise,Sales Agent,65.13,390.86,0.0,0.0,0.0,True,1322.22,577
M10024,2024/11/01,Retail,Aqaba,Enterprise,Sales Agent,65.13,390.86,0.0,0.0,0.0,True,6271.43,670
M10024,2024-12-01,Retail,Aqaba,Enterprise,Sales Agent,65.13,390.86,0.0,0.0,0.0,True,9218.29,774
M10024,2025-01-01,Retail,Aqaba,Enterprise,Sales Agent,65.13,458.65,0.0,67.78,0.0,True,8009.44,859
M10025,2024-02-01,Hospitality,Amman,Basic,Bank Partner,21.5,30.62,30.62,0.0,0.0,True,3160.61,267
M10025,2024-03-01,Hospitality,Amman,Basic,Bank Partner,21.5,30.62,0.0,0.0,0.0,True,1779.12,252
M10025,2024-04-01,Hospitality,Amman,Basic,Bank Partner,21.5,30.62,0.0,0.0,0.0,True,1396.87,294
M10025,2024-05-01,Hospitality,Amman,Basic,Bank Partner,21.5,30.62,0.0,0.0,0.0,True,208.87,20
M10025,2024-06-01,Hospitality,Amman,Basic,Bank Partner,21.5,30.62,0.0,0.0,0.0,True,1408.32,178
M10025,2024-07-01,Hospitality,Amman,Basic,Bank Partner,21.5,30.62,0.0,0.0,0.0,True,1808.56,264
M10025,2024-08-01,Hospitality,Amman,Basic,Bank Partner,50JOD,30.62,0.0,0.0,0.0,True,5365.44,485
M10025,2024-09-01,Hospitality,Amman,Basic,Bank Partner,21.5,30.62,0.0,0.0,0.0,True,1007.67,250
M10025,2024-10-01,Hospitality,Amman,Basic,Bank Partner,21.5,30.62,0.0,0.0,0.0,True,2509.76,317
M10025,2024-11-01,Hospitality,Zaqra,Basic,Bank Partner,21.5,30.62,0.0,0.0,0.0,True,605.73,144
M10025,2024-12-01,Hospitality,Amman,Basic,Bank Partner,21.5,94.05,0.0,63.43,0.0,True,4365.23,351
M10025,2025-01-01,Hospitality,Amman,Basic,Bank Partner,21.5,94.05,0.0,0.0,0.0,True,2580.29,309
M10026,2024-02-01,F&B,Amman,Pro,Bank Partner,33.27,78.13,78.13,0.0,0.0,True,9064.08,946
